DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO2,OFICIO1,DSI,DSCY,RAMA4D_D_R4,DPTO,MES,fex_c_2018
5332791,1,3,1,70,52,4,48,4,,2,8,4,,1,2,1,,,,,,,,,,,1,2,,1000000,2,,41,95,95,1,1,4111,52,01,22.220257114
5332791,1,6,1,70,52,3,48,1,,2,12,1,,3,2,1,,,,,,,,,,,1,2,,877000,2,,41,93,45,1,1,4111,52,01,22.220257114
5332838,1,2,1,70,52,36,48,1,,1,,,,,,,,.,,,,,,,,.,,,,1000000,,,,,45,1,2,,52,01,26.036176082
5332840,1,1,1,70,52,1,48,1,,2,2,1,,9,2,1,,,,,,,,,,,1,1,1000000,950000,2,,01,03,03,1,1,0126,52,01,23.168543502
5333209,1,3,1,70,52,8,48,2,,2,80,2,,9,2,1,,,,,,,,,,,1,2,,877000,2,,86,33,33,1,1,8610,52,01,31.076284164
5333212,1,3,1,70,52,16,48,1,,1,,,,,,,,.,,,,,,,,.,,,,877000,,,,,58,1,2,,52,01,29.247176812
5338072,1,5,1,70,52,2,48,1,,2,3,1,,4,2,1,,,,,,,,,,,1,1,700000,908000,2,,47,45,58,1,1,4771,52,01,32.666386053
5338077,1,1,1,70,52,4,48,1,,2,48,1,,2,2,1,,,,,,,,,,,1,2,,908000,2,,47,45,39,1,1,4711,52,01,34.776768567
5338078,1,2,1,70,52,9,48,1,,2,36,1,,2,2,1,,,,,,,,,,,1,2,,600000,2,,56,53,45,1,1,5611,52,01,39.698987316
5347506,1,2,1,70,52,8,48,4,,2,9,4,,3,2,1,,,,,,,,,,,1,1,500000,900000,2,,41,95,95,1,1,4111,52,01,29.854549818
5347872,1,1,1,70,52,8,48,1,,2,36,3,,1,2,1,,,,,,,,,,,1,1,350000,900000,2,,97,54,57,1,1,9700,52,01,16.247534929
5347874,1,3,1,70,52,8,48,1,,2,48,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,47,45,45,1,1,4771,52,01,22.652138552
5348519,1,1,1,70,52,4,48,1,,2,6,1,,9,2,1,,,,,1,,,,,,,1,3200000,2500000,2,,85,13,13,1,1,8551,52,01,29.854549818
5351587,1,1,1,70,52,4,48,1,,2,5,1,,9,2,1,,,,,1,,,,,,,1,3200000,2000000,2,,84,03,19,1,1,8412,52,01,29.854549818
5351587,1,2,1,70,52,16,48,1,,2,49,1,,6,2,1,,,,,,,,,,,1,1,2500000,2000000,2,,84,13,12,1,2,8413,52,01,29.854549818
5351599,1,2,1,70,52,16,48,1,,2,50,1,,2,2,1,,,,,,,,,,,1,2,,1500000,2,,86,03,03,1,2,8622,52,01,22.012128941
5351602,1,1,1,70,52,14,48,3,,2,36,3,,1,2,1,,,,,,,,,,,1,2,,500000,2,,97,54,54,1,2,9700,52,01,23.1717703
5352502,1,5,1,70,52,6,40,1,,2,10,4,,1,2,1,,,,,,,,,,,1,1,250000,1000000,2,,49,98,06,1,1,4921,52,01,15.264450243
5352503,1,1,1,70,52,4,48,1,,2,5,3,,1,2,1,,,,,,,,,,,1,1,350000,900000,2,,97,54,59,1,1,9700,52,01,11.099102564
5352754,1,3,1,70,52,6,48,1,,1,,,,,,,,.,,,,,,,,.,,,,600000,,,,,97,1,1,,52,01,11.099102564
5356756,1,1,1,70,52,16,48,1,,2,36,3,,1,2,1,,,,,,,,,,,1,2,,600000,2,,97,54,45,1,2,9700,52,01,21.169753678
5356765,1,2,1,70,52,4,48,1,,2,6,1,,3,2,2,,,,,,,,,,,1,2,,907000,2,,47,45,59,1,1,4771,52,01,11.099102564
5356765,1,3,1,70,52,4,48,1,,2,62,1,,9,2,1,,,,,,,,,,,1,2,,907000,2,,35,03,39,1,1,3512,52,01,11.099102564
5358853,1,3,1,70,52,12,48,1,,2,40,1,,5,2,1,,,,,,,,,,,1,2,,700000,2,,30,32,45,1,1,3012,52,01,21.814330226
5367565,1,1,1,70,52,6,24,1,,2,56,1,,2,2,1,,,,,,,,,,,1,2,,450000,2,,47,45,45,1,1,4771,52,02,9.8020833333
5367565,1,3,1,70,52,5,48,1,,2,36,1,,2,2,1,,,,,,,,,,,1,2,,907000,2,,47,45,39,1,1,4759,52,02,9.8020833333
5367565,1,5,1,70,52,7,48,1,,1,,,,,,,,.,,,,,,,,.,,,,907000,,,,,13,1,1,,52,02,9.8020833333
5367614,1,1,1,70,52,6,48,3,,2,28,1,,9,2,1,,,,,,,,,,,1,1,200000,500000,2,,88,53,54,1,1,8890,52,02,15.893089069
5367615,1,1,1,70,52,5,48,1,,2,8,1,,5,2,2,,,,,,,,,,,1,2,,1300000,2,,88,13,13,1,1,8890,52,02,9.8020833333
5367625,1,1,1,70,52,4,48,1,,2,20,4,,5,2,1,,,,,,,,,,,1,1,500000,908000,2,,46,97,97,1,1,4663,52,02,27.312836673
5367628,1,2,1,70,52,4,48,1,,2,36,1,,8,2,1,,,,,,,,,,,1,2,,907000,2,,88,13,13,1,1,8890,52,02,27.043423122
