DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7450,P7450S1,P7452,P7454,P7456,P7458,P7458S1,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921,INI,p7440,DPTO,MES,fex_c_2018
5332790,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,11.099102564
5332790,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,11.099102564
5332790,1,4,1,80,52,1,6,,2,,,5,,2,,2,,,,,2,1,4,52,01,11.099102564
5332791,1,1,1,80,52,2,,,,1,2,5,,2,,2,,,,,2,1,,52,01,22.220257114
5332791,1,2,1,80,52,1,6,,2,,,1,,2,,2,,1,48,900000,2,1,3,52,01,22.220257114
5332791,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,22.220257114
5332791,1,5,1,80,52,2,,,,1,1,2,,2,,2,,,,,2,1,,52,01,22.220257114
5332791,1,7,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,22.220257114
5332792,1,2,1,80,52,1,9,POR LA PANDEMIA,2,,,9,,2,,2,,,,,2,1,1.4,52,01,11.099102564
5332792,2,1,2,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,3,52,01,11.099102564
5332793,1,1,1,80,52,1,5,,2,,,10,,2,,2,,,,,2,1,4,52,01,16.718781602
5332838,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,26.036176082
5332838,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,26.036176082
5332839,1,1,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,4,52,01,24.217241048
5332839,1,2,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,2,52,01,24.217241048
5332839,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,24.217241048
5332839,2,2,2,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,24.217241048
5332840,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,23.168543502
5332841,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,24.879761521
5333024,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,4,52,01,12.547050527
5333024,1,2,1,80,52,1,9,POR ORDEN PUBLICO,2,,,12,ORDEN PUBLICO,2,,2,,,,,2,1,4,52,01,12.547050527
5333209,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,31.076284164
5333210,1,1,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,4,52,01,30.325796491
5333211,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,31.010964379
5333212,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,29.247176812
5333494,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,11.099102564
5333495,1,2,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,4,52,01,11.099102564
5333495,1,4,1,80,52,1,2,,2,,,2,,2,,2,,,,,2,1,1.2,52,01,11.099102564
5334645,1,1,1,80,52,1,8,,1,,4,1,,2,,2,,1,48,900000,2,1,4,52,01,16.718781602
5336657,1,2,1,80,52,2,,,,1,3,1,,2,,2,,,,,2,1,,52,01,24.099479246
5336657,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,24.099479246
5338071,1,1,1,80,52,1,3,,2,,,9,,2,,2,,1,36,908000,2,1,2,52,01,34.776768567
5338072,1,2,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,4,52,01,32.666386053
5338072,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,32.666386053
5338072,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,32.666386053
5338075,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,19.586414182
5347506,1,1,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,4,52,01,29.854549818
5347822,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,24.879761521
5347822,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,24.879761521
5347823,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,28.090762251
5347824,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,29.247176812
5347824,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,29.247176812
5347871,1,1,1,80,52,1,1,,2,,,1,,2,,2,,,,,2,1,2,52,01,16.247534929
5347873,1,1,1,80,52,1,4,,2,,,4,,2,,2,,,,,2,1,1.4,52,01,13.753579868
5347874,2,2,2,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,22.652138552
5347874,2,3,2,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,22.652138552
5347875,1,1,1,80,52,1,3,,2,,,9,,2,,2,,,,,2,1,2,52,01,35.642384526
5347875,1,3,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,35.642384526
5348515,1,2,1,80,52,1,5,,2,,,10,,3,,2,,,,,3,1,4,52,01,19.491299795
5348515,1,5,1,80,52,1,3,,2,,,1,,2,,2,,,,,2,1,2,52,01,19.491299795
5348516,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,17.902956603
5348516,1,3,1,80,52,2,,,,2,,,.,2,,2,,1,40,900000,2,1,,52,01,17.902956603
5348516,1,4,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,17.902956603
5348517,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,26.93434769
5348518,1,2,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,26.93434769
5348520,1,1,1,80,52,2,,,,2,,,.,2,,2,,,,,2,1,,52,01,16.718781602
