DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P388,P6440,P6450,P6460,P6460S1,P6400,P6410,P6422,P6424S1,P6424S2,P6424S3,P6426,P6430S1,P6480,P6480S1,P9440,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585S1,P6585S1A1,P6585S1A2,P6585S2,P6585S2A1,P6585S2A2,P6585S3,P6585S3A1,P6585S3A2,P6585S4,P6585S4A1,P6585S4A2,P6545,P6545S1,P6545S2,P6580,P6580S1,P6580S2,P6630S1,P6630S1A1,P6630S2,P6630S2A1,P6630S3,P6630S3A1,P6630S4,P6630S4A1,P6630S6,P6630S6A1,P6640,P6640S1,P6765,P6765S1,P6772,P6772S1,P6773S1,P6775,P6750,P6760,P550,P6780,P6780S1,P6790,P1800,P1800S1,P1801S1,P1801S2,P1801S3,P1802,P1879,P1805,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6870,P6880,P6880S1,P6915,P6915S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S7A1,P6980S8,P6990,P9450,P7020,P760,P7026,P7028,P7028S1,P7040,P390,P7045,P7050,P7050S1,P7070,P7075,P7077,P1880,P1881,P1882,P3148,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170S1,P7170S5,P7170S6,P7180,P514,P515,P7240,P7240S1,OFICIO,RAMA2D_R4,OCI,P6430,RAMA4D_R4,INGLABO,DPTO,MES,fex_c_2018,RAMA4DP8_R4
5332788,1,1,1,60,52,52,2,,,,,,,,,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,200000,1,,3,,5,2,,,,,2,6,2,48,,.,32,6,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,14,,1,2,,,,2,,,,,,,,,,,,,,1,1,1,1,1,1,3,,79,14,1,4,1410,200000,52,01,13.753579868,
5332789,1,1,1,60,52,52,1,2,1,,2,4,1,1,1,1,396,,2,,2,3280000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1640000,1,3280000,1,3280000,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,40,,.,0,3,,9,7,,1,,1,1,1,33,1,1,,,,,,,,,2,2,2,,,,,2,,,,,,,,,3,10,,2,,,,2,,,,,,,,,,,,,,1,1,1,1,1,1,1,,13,85,1,2,8530,3280000,52,01,16.718781602,8413
5332790,1,1,1,60,52,52,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,200000,1,,3,,1,2,,,,,3,6,2,60,,.,60,,,1,1,,2,,2,,,,1,,,,,,,,,1,2,2,1,18,24,1,,2,,,,,,,,3,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,2,1,3,,41,47,1,4,4711,200000,52,01,11.099102564,
5332792,1,1,1,60,52,52,1,2,1,,1,,1,2,1,1,372,,1,,2,885000,2,,,2,,2,,2,,2,,2,,,1,102000,2,2,,,2,,,2,,,2,,,1,442500,1,442500,2,,2,,2,,2,,,.,,,,,,,,,.,9,,,,,,,,,48,,.,48,,,5,7,,1,,1,2,1,31,1,1,,,,,,,,,2,2,2,,,,,2,,,,,,,,,2,25,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,53,56,1,1,5611,885000,52,01,11.099102564,
5332837,1,1,1,60,52,52,2,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,990000,1,,3,,10,2,,,,,3,3,1,48,,.,48,,,1,7,,3,,2,,,,1,,,1,,,,,,,2,2,1,12,6,1,,2,,,,,,,,1,14,,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,57,96,1,4,9602,990000,52,01,21.169753678,
5332838,1,1,1,60,52,52,2,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,,2,500000,1,,3,,10,2,,,,,3,1,2,48,,.,48,,,1,8,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,9,90,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,61,01,1,4,0128,500000,52,01,26.036176082,
5332839,2,1,2,60,52,52,2,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,2,800000,1,,3,,9,2,,,,,3,3,1,48,,.,48,,,1,4,,2,,2,,,,1,,,,,,,,,1,2,2,2,,,,,2,,,,,,,,,3,3,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,98,49,1,4,4921,800000,52,01,24.217241048,
5332840,1,2,1,60,52,52,1,2,2,12,1,,1,1,1,1,36,,3,,2,1800000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,900000,1,900000,1,900000,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,48,,.,48,,,9,7,,1,,1,2,1,12,1,1,,,,,,,,,1,1,1,1,24,2,,2,,,,,,,,1,2,30,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,21,36,1,2,3600,1800000,52,01,23.168543502,
5332841,1,1,1,60,52,52,1,2,1,,2,4,1,1,1,1,264,,5,,1,2400000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,1,1200000,1,2400000,1,1200000,2,,2,,2,,,.,,,,,,,,,.,11,,,,,,,,,40,,.,0,3,,8,7,,1,,1,1,1,23,1,1,,,,,,,,,1,1,2,,,,,2,,,,,,,,,9,120,,2,,,,2,,,,,,,,,,,,,,1,1,1,2,1,1,3,,13,85,1,2,8530,2400000,52,01,24.879761521,8413
5332841,1,2,1,60,52,52,1,1,,,1,,2,2,2,2,24,,1,,2,400000,2,,,2,,2,,2,,2,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,2,,2,,2,,2,,,.,,,,,,,,,.,12,,,,,,,,,48,,.,48,,,4,7,,2,,2,,,,1,,,,,,,,,1,2,2,1,6,24,1,,2,,,,,,,,3,11,15,,2,,,,1,1,1,1,2,1,2,1,2,2,2,,1,1,1,1,1,2,1,1,3,,55,96,1,1,9603,400000,52,01,24.879761521,
